NOMBRE,TIPO,ESTADO,DEPARTAMENTO-CIUDAD,INFORMACION,CONTRATISTA,EXTENSION,LOCALIDADES,INICIO,FIN,PLAZO,AVANCE,FINANCIACION,INVERSION
Pavimentación de tramos alimentadores de la Red Vial Nacional. Paquete Nº 2. Lote 4.,Pavimentación Asfáltica,FINALIZADA,Caaguazú - Repatriación,"Pavimentación de tramos alimentadores de la Red Vial Nacional.
Paquete Nº 2. Lote 4.
Tramo Caaguazú - Repatriación
Tramo Ruta N° 2 - Nueva Londres",Consorcio CCC - Vialtec,"17,10 Kms",Caaguazú - Repatriación - Nueva Londres,"Mié, 25 Marzo 2015","Lun, 14 Diciembre 2015",9,100%,Fondo Local,Gs. 21.027.654.927
Circunvalación en las ciudades de Paraguarí - Carapeguá - Quiindy y Caapucú,Circunvalación,FINALIZADA,Paraguarí - Quiindy,"Circunvalación en las ciudades de Paraguarí - Carapeguá - Quiindy y Caapucú
OBRA 3: Circunvalación de la Ciudad de Quiindy",Consorcio TR - TE,4.20 kilometros,Quiindy,"Lun, 28 Abril 2014","Lun, 30 Noviembre 2015",,100%,Fondo Local,Gs. 12.819.694.498
"Mantenimiento de Carreteras por Índices de Servicios Ruta Nacional N° 4, Tramo: San Ignacio - Pilar",Rehabilitación y Mantenimiento de Rutas Pavimentadas (CREMA),EN REPARACIÓN,Ñeembucú - Pilar,"CREMA. Mantenimiento de Carreteras por Índices de Servicios Ruta Nacional N° 4, Tramo: San Ignacio - Pilar",Ingeniería de Topografía S.A.,"133,40 Kms.",San Ignacio - Pilar,"Lun, 18 Mayo 2015","Lun, 18 Julio 2022",86,45%,Fondo Local,Gs. 291.995.500.000
Construcción de Puente de Hormigón Armado,Puente de Hormigón Armado,FINALIZADA,Canindeyú - Ybyrarobaná,"Construcción de Puente de HºAº en el tramo Ruta 10 (km 304) - Asent. Naranjito (Yvyrarovana) sobre el A° Pindo:
Via administrativa se realizaron trabajos de reconstrucción de superestructura de puente mixto (muro de PBC y madera) existente sobre el arroyo Pindo, en el tramo Ruta 10 (km 304) – Asentamiento Naranjito del distrito Yvyrarovana, Dpto. de Canindeyu, con la sustitución del maderámen por Ho Ao, con una longitud de 8m y un ancho de 5,40m. En la obra se utilizaron vigas longitudinales pretensadas, pre-losas y barandas prefabricadas; con vigas de apoyo, vigas trasversales, losas y guardarruedas de hormigón in situ. El estribo existente fue construido entre la Gobernación y el distrito local, la terminación de las obras se complementó con terraplén a cargo del Distrito de Conservación No 14.
Terminado en: junio/2015",MOPC,8 metros,Asentamiento 16 de Julio - Asentamiento Naranjito,"Lun, 20 Abril 2015","Vie, 19 Junio 2015",2,100%,Fondo Local,Gs. 450.000.000
Pavimentación tipo empedrado del tramo Nueva Toledo - Vaquería,Pavimentación Tipo Empedrado,EN CONSTRUCCIÓN,Caaguazú - Caaguazú,Pavimentación tipo empedrado del tramo Nueva Toledo - Vaquería,Caraguatay S.A.,19.80,Nueva Toledo - Vaquería,"Lun, 28 Abril 2014","Dom, 29 Enero 2017",,80%,Fondo Local,Gs. 44.071.115.879
Mejoramiento de Transitabilidad de Caminos No Pavimentados en varios Departamentos de la Región Oriental.,Mejoramiento de transitabilidad de caminos no pavimentados,EN CONSTRUCCIÓN,Paraguarí - Paraguarí,Mejoramiento de Transitabilidad de Caminos No Pavimentados en varios Departamentos de la Región Oriental.,Jonica S.A.,"215,00",Paraguarí,"Mar, 13 Diciembre 2016","Lun, 13 Marzo 2017",,0%,Fondo Local,Gs. 1.458.493.848
Mejoramiento de Transitabilidad de Caminos No Pavimentados en varios Departamentos de la Región Oriental.,Mejoramiento de transitabilidad de caminos no pavimentados,EN CONSTRUCCIÓN,Alto Paraná - Ciudad del Este,Mejoramiento de Transitabilidad de Caminos No Pavimentados en varios Departamentos de la Región Oriental.,Construpar S.A.,"252,00",Alto Paraná,"Mar, 13 Diciembre 2016","Lun, 13 Marzo 2017",,0%,Fondo Local,Gs. 2.197.920.312
Pavimentación tipo empedrado del tramo Acceso a La Pastora (Ramales 1 y 2),Pavimentación Tipo Empedrado,EN CONSTRUCCIÓN,Caaguazú - Caaguazú,Pavimentación tipo empedrado del tramo Acceso a La Pastora (Ramales 1 y 2),Sotec S.A.,11,La Pastora,"Sáb, 01 Febrero 2014","Jue, 05 Enero 2017",,94%,Fondo Local,Gs. 20.407.488.952
Pavimentación tipo empedrado del tramo Distrito de J.E. Estigarribia,Pavimentación Tipo Empedrado,EN CONSTRUCCIÓN,Caaguazú - Caaguazú,"Pavimentación tipo empedrado del tramo Calle 1ra. Línea, tramo Emp. Ruta 7 a Emp. Calle 2da., Acceso Lat. Norte, Sur y Calles Urbanas (Distrito de J.E. Estigarribia)",Consorcio de Pavimentación Rural,15,J. E. Estigarribia,"Sáb, 01 Febrero 2014","Lun, 24 Octubre 2016",,89%,Fondo Local,Gs. 14.593.471.204
Construcción de Puente de HºAº en el tramo Repatriación - 13 Linea,Puente de Hormigón Armado,FINALIZADA,Caaguazú - Repatriación,"Construcción de Puente de HºAº en el tramo Repatriación - 13 Linea, sobre el A° Yhoguy (Conocido también como Arroyo Escalera)
Puente construido vía administrativa por el Departamento de Puentes y O. A., con vigas pretensadas prefabricadas, viga de apoyo, losa y guardarruedas con Ho Ao in situ, sobre muros de piedra bruta colocada.
Longitud= 8,00m Ancho: 5,40m
Terminado en: octubre/2015",MOPC,"8,00 Mtrs.",Repatriación - Mauricio J. Troche,"Lun, 20 Abril 2015","Jue, 04 Junio 2015",2,100%,Fondo Local,Gs. 300.000.000
Pavimentación tipo empedrado del tramo Guayaibi - Calle Bertoni,Pavimentación Tipo Empedrado,EN CONSTRUCCIÓN,San Pedro - Guayaibí,Pavimentación tipo empedrado del tramo Guayaibi - Calle Bertoni,Aponte Latorre S.A.,11.30,Guayaibi,"Mar, 25 Febrero 2014","Lun, 31 Octubre 2016",,93%,Fondo Local,Gs. 17.130.800.877
Ruta Acceso Loma Plata - Acceso Filadelfia - Ruta N° 9,Pavimentación Asfáltica,FINALIZADA,Boquerón - Filadelfia,Ruta Acceso Loma Plata - Acceso Filadelfia - Ruta N° 9 (Villa Choferes del Chaco) (línea sur),Concret Mix S.A.,22 kms.,Loma Plata - Filadelfia,"Mié, 26 Junio 2013","Mié, 24 Septiembre 2014",,100%,Fondo Local,Gs. 87.408.803.491
Rehabilitación y Mejoramiento de Caminos No Pavimentados del Dpto. de San Pedro,Ripio / Empedrado,FINALIZADA,San Pedro - Choré,Rehabilitación y Mejoramiento de Caminos No Pavimentados del Dpto. de San Pedro en el tramo: Lote1: Choré - Colonia Cocuerá - San Pablo,VIALTEC S.A.,35.50 kms.,Choré - San Pablo,"Jue, 30 Mayo 2013","Vie, 30 Enero 2015",,100%,BIRF,Gs. 24.386.596.912
Rehabilitación y Mejoramiento de Caminos No Pavimentados del Dpto. de San Pedro,Ripio / Empedrado,FINALIZADA,San Pedro - Choré,Rehabilitación y Mejoramiento de Caminos No Pavimentados del Dpto. de San Pedro en el tramo: .Lote 2: Choré - Jhugua Rey.,Benito Roggio,25.50,Choré,"Lun, 27 Mayo 2013","Mar, 17 Febrero 2015",,0%,BIRF,Gs. 20.880.759.061
Rehabilitación y Mejoramiento de Caminos No Pavimentados del Dpto. de San Pedro,Ripio / Empedrado,FINALIZADA,San Pedro - San Pedro de Ycuamandyyú,Rehabilitación y Mejoramiento de Caminos No Pavimentados del Dpto. de San Pedro en tramo:. Lote 3: Jhugua Rey - Gral. Aquino.,Ecomipa S.A.,29,Choré - San Pablo,"Jue, 13 Junio 2013","Jue, 26 Febrero 2015",,0%,Fondo Local,Gs. 22.136.137.244
Pavimentación de tramos alimentadores de la Red Vial Nacional. Paquete Nº 3. Lote 1,Pavimentación Asfáltica,EN CONSTRUCCIÓN,Central - San Lorenzo,"Pavimentación de tramos alimentadores de la Red Vial Nacional. Paquete Nº 3. Lote 1: M.R. Alonso, Limpio, Luque, San Lorenzo.
TRAMO: General Bernardino Caballero, Inicio: Ruta 3, Fin: Ex Caballería
TRAMO: Capitán Hermosilla, Inicio: Ruta Transchaco, Fin: Bernardino Caballero
TRAMO: Gral. Diaz, Inicio: Ruta Transchaco, Fin: Bernardino Caballero
TRAMO: Manuel Britez Burgos - Nanawa - Coronel Martinez, Inicio: Capitán Insfran, Fin: Santa Teresa
TRAMO: Fotografo del Chaco, Inicio: Coronel Martinez, Fin: Gabriel Pellon
TRAMO: República de Colombia, Inicio: Gabriel Pellon, Fin: Capitan Insfran
TRAMO: Guaranies - Gaspar R. De Francia - Estelvina de Aveiro
TRAMO: Calle Libertad desde Britez Borges hasta Mcal. Lopez
TRAMO: Desde Avda. de la Victoria, por Gerardo Pacielo, Dr. Arnaldo Bacigalupo, Benjamin Franklin, 12 de junio hasta Calle San Pedro (Limite Capiata)
TRAMO: Desde Manuel Ortiz Guerrero, por Concordia,Prof. Dr. Victorio Curiel, Agustin Pinedo, hasta Avda. del Agronomo",Consorcio Pavimento Humano,"35,00 Kms.","M.R. Alonso, Limpio, Luque, San Lorenzo.","Lun, 21 Septiembre 2015","Lun, 21 Marzo 2016",6,79%,Fondo Local,Gs. 55.905.239.363
Pavimentación de tramos alimentadores de la Red Vial Nacional. Paquete Nº 3. Lote 2,Pavimentación Asfáltica sobre Empedrado,EN CONSTRUCCIÓN,Central - Fernando de la Mora,"Pavimentación de tramos alimentadores de la Red Vial Nacional. Paquete Nº 3. Lote 2. Fernando de la Mora.
TRAMO: Desde Tte. Sosa por la Calle O Leary, Tacuari y A Gonzalez hasta Julio C.Franco.
TRAMO: Yatayty Corá Inicia en Avda. Def. del Chaco- Zavalas Cué- Yataity Cora -Nueva Asunción e/ Zabalas Cue y la calle Boquerón desde Nueva Asuncion -Concepción desde Boqueron y Hernandarias.
TRAMO: Julio C. Franco E/ Tte. Sosa y A. González, por A. González,E/ Julio C. Franco y Mcal. López, Guyrá Campana E/- Mcal. López y Arasá, Arasá E/ Guyrá Campana y Yerutí, Yerutí E/ Arasá y Storn, Storn E/ Yerutí y calle Paraguay, Paraguay E/ Storn y Las Residentas.
TRAMO: Por Calle Juan de Salazar, continua por las Calles Eugenio A. Garay, Isla Po'i, 11 de Seiembre, Emiliano R. Fernandez, 5 de abril, Juan de Salazar, Dr. Sosa, Independencia Nacional, Acosta Ñu, Juan deSalazar, Curupayty, Cnel. Franco, Curupayty, Anahi, India, Don Bosco, Jose Viñuales.
TRAMO: Por Juan de Salazar, Inicia en Avda. Madame Lynch hasta Pedro Getto, continua por calle 21 de Septiembre, por Concepción, por Manuel Domínguez, por 10 de Julio, por Rio Yhaguy, por Picuiba hasta Tte. Ettiene, se desvía por Tte. Ettiene desde Rio Yhaguy hasta 6 de Enero, por 6 de Enero
TRAMO: Desde la Calle de la amistad por la Calle Campo Via, Fray Luis de Bolaños, Cnel. Cazal, Ettiene, Saavedra, Colon, Rafael Franco, las Residentas, Pedro Getto, Gral Caballero hasta Madame Lynch
TRAMO: Desde Tte. Sosa, Eugenio A. Garay hasta Santa Teresa; desde Santa Teresa por Juan Carlos Loizaga, 8 de setiembre, Francisco Bogarin hasta Mcal. Lopez, desde Mcal. Lopez por Pedro Getto hasta Mcal. Estigarribia; desde Mcal. Estigarribia por 15 de mayo, Nueva Asuncion, Tte. Rivarola.",Roggio & Hijos S.A.,"38,05 Kms.",Fernando De La Mora,"Lun, 24 Agosto 2015","Sáb, 26 Marzo 2016",7,92%,Fondo Local,Gs. 51.779.998.242
Pavimentación de tramos alimentadores de la Red Vial Nacional.,Pavimentación Asfáltica sobre Empedrado,FINALIZADA,Central - Guarambaré,"Pavimentación de tramos alimentadores de la Red Vial Nacional. Paquete Nº 3. Lote 4. Capiatá - J.A. Saldivar - Itauguá - Areguá - Ypacaraí - Guarambaré.
TRAMO: Desde Ruta 1 por Carlos M.Gimenez, Adan Ramirez, 1° de Mayo, Martin Tirado, Jose A. Flores, Mcal. Lopez llegando hasta Ruta 2.
TRAMO: Calle Gabriaguez hasta Paso Sana.
TRAMO: Inicia Calle Panchito Lopez desde Ruta 1, continua por Lapacho, Calle 12 de junio hasta calle San Pedro (limite con San Lorenzo).
TRAMO: Avda. San Pedro desde Ruta 1 hasta Barrio Kennedy (Km 20).
TRAMO: Calle 15 de Noviembre desde Rojas Cañada hasta Jose A. Flores.
TRAMO: Calle Jose A. Flores desde 15 de noviembre hasta ramal Ruta 1 Km20- Kennedy continua por Reseda hasta calle San Pedro.
TRAMO: Zona centro a Ruta Ypacarai - Pirayú por (Paso Puente).
TRAMO: Desde el ramal Guarambare - Villeta por la calle Dr. Manuel Dominguez, continua por la Calle Benjamin Aceval.
TRAMO: Intercepcion Ypane - Guarambare desde Acceso Sur hasta el ramal Ypane-Guarambare (Potrerito).
TRAMO: Rojas Cañada entre Ruta 1(km23) y 15 de Noviembre.",Ecomipa S.A.,"46,76 Kms.",Capiatá - J.A. Saldivar - Itauguá - Areguá - Ypacaraí - Guarambaré.,"Mié, 23 Septiembre 2015","Mié, 23 Marzo 2016",6,100%,Fondo Local,Gs. 53.900.000.000
Pavimentación Tipo empedrado Tramo Empalme Ruta 7 (A° Guazú) - R.I.3 Corrales (Obra 10 - Grupo 2),Pavimentación Asfáltica,EN CONSTRUCCIÓN,Caaguazú - R. I. Tres Corrales,Pavimentación Tipo empedrado Tramo Empalme Ruta 7 (A° Guazú) - R.I.3 Corrales (Obra 10 - Grupo 2).,Consorcio Itá Piru,"17,02 Kms.",R.I.3 Corrales - Potrero Guayakí,"Jue, 06 Agosto 2015","Mié, 26 Julio 2017",24,42%,Fondo Local,Gs. 41.183.630.298
Pavimentación Tipo empedrado - Tramo Sapucai - Cerro Roke,Pavimentación Tipo Empedrado,FINALIZADA,Paraguarí - Sapucai,Pavimentación Tipo empedrado - Tramo Sapucai - Cerro Roke,Firma Tecnología del Sur S.A.,"4,23 Kms.",Sapucai,"Jue, 01 Octubre 2015","Vie, 26 Agosto 2016",12,100%,Fondo Local,Gs. 6.318.169.486
Pavimentación de tramos alimentadores de la Red Vial Nacional. Paquete Nº 3. Lote 3. Dpto Central,Pavimentación Asfáltica sobre Empedrado,EN CONSTRUCCIÓN,Central - Lambaré,"Pavimentación de tramos alimentadores de la Red Vial Nacional. Paquete Nº 3. Lote 3. Lambaré - Villa Elisa - Ñemby - San Antonio.
TRAMO: San Isidro - Cerro Lambare - General René Barrientos, Inicio: Avda Defensores del Chaco, Fin: Avda Peron
TRAMO:Cristobal Colon - Alejo Garcia - Juan de Ayolas - Palacion de Lopez - Koeti, Inicio: Cacique Lambare, Fin: Avda Bruno Guggiari.
TRAMO: Yacare Valija, Inicio: Avda Defensores del Chaco, Fin: Avda Cacique Lambare.
TRAMO: Mauricio Troche, Inicio: Avda Defensores del Chaco, Fin: Avda Cacique Lambare
TRAMO: Antonio Tomas Yegros (8 de Marzo), Inicio: Avda Defensores del Chaco, Fin: Avda del Pueblo
TRAMO: Francia - Paso Medin, Inicio: Teniente Americo Pico, Fin: Von Poleski
TRAMO: Tulipanes - Rosedal, Inicio: Defensores del Chaco, Fin: Von Poleski
TRAMO: Pratt Gill, Inicio: Acceso Sur, Fin: San Lorenzo
TRAMO: 1º de Marzo, Inicio: Pratt Gill, Fin: Acceso Sur
TRAMO: 10 de Agosto, Inicio: Santa Rosa, Fin: Ytororo.",Consorcio Pavimentador Central,"23,45 Kms.",Lambaré - Villa Elisa - Ñemby - San Antonio.,"Mié, 30 Septiembre 2015","Mar, 07 Junio 2016",9,95%,Fondo Local,Gs. 30.869.569.455
Bacheo y Restitucion de Galibo del Camino Viejo a la Ciudad de Luque y de la Avda. Sudamericana,Rehabilitación y Mantenimiento de Rutas Pavimentadas,FINALIZADA,Central - Luque,Rehabilitación y Recapado: Bacheo y Restitución de Galibo del Camino Viejo a la Ciudad de Luque y de la Avda. Sudamericana.,T&C S.A.,"7,64 Kms.",Luque - Asunción,"Lun, 08 Junio 2015","Jue, 23 Julio 2015",2,100%,Fondo Local,Gs. 9.480.000.000
Rehabilitacion de la Avda. Autopista Silvio Pettirossi en el tramo : Empalme Avda. Madame Lynch - Aeropuerto Silvio Pettirossi.,Rehabilitación y Mantenimiento de Rutas Pavimentadas,FINALIZADA,Central - Luque,Rehabilitación de la Avda. Autopista Silvio Pettirossi en el tramo: Empalme Avda. Madame Lynch - Aeropuerto Silvio Pettirossi.,TECNOEDIL S.A.,"5,50 Kms.",Asunción - Luque,"Sáb, 20 Junio 2015","Dom, 09 Agosto 2015",2,100%,Fondo Local,Gs. 16.176.384.425
"Construccion de Puentes de Hº Aº en los Departamentos de San Pedro, Canindeyu y Amambay",Puente de Hormigón Armado,EN CONSTRUCCIÓN,San Pedro - Capiibary,"Llamado MOPC 01 /2015 - Construccion de Puentes de Hº Aº en los Departamentos de San Pedro, Canindeyu y Amambay
LOTE 2",Miguel Ángel Chávez,"82,00 Mtrs.","Departamentos de San Pedro, Canindeyú y Amambay","Mié, 02 Marzo 2016","Vie, 01 Septiembre 2017",18,60%,CAF,Gs. 6.244.097.162
"Construccion de Puentes de Hº Aº en los Departamentos de San Pedro, Canindeyú y Amambay",Puente de Hormigón Armado,EN CONSTRUCCIÓN,Amambay - Zanja Pytá,"Llamado MOPC 01 /2015 - Construccion de Puentes de Hº Aº en los Departamentos de San Pedro, Canindeyu y Amambay
LOTE 3",Miguel Ángel Chávez,"110,00 Mtrs.",Departamentos de Canindeyú y Amambay,"Mar, 01 Marzo 2016","Mar, 01 Agosto 2017",18,62%,CAF,Gs. 11.644.456.917
Construcción de Puente de HºAº en el tramo Repatriación - 13 Linea sobre el A° Escalera 3,Construcción de Alcantarillas,FINALIZADA,Caaguazú - Repatriación,"Construcción de alcantarilla celular, en el tramo Repatriación - 13 Linea, sobre el A° Escalera 3.
Alcantarilla Celular Doble de 1,5 x 1,5. De 18,00 mts. cada hilera.",MOPC,3 metros,Repatriación,"Mié, 21 Octubre 2015","Jue, 10 Diciembre 2015",2,100%,Fondo Local,Gs. 200.000.000
Construcción de Puente de HºAº en el tramo Repatriación - 13 Linea sobre el A° Escalera 2,Puente de Hormigón Armado,FINALIZADA,Caaguazú - Repatriación,"Obra via administrativa por el Departamento de Puentes y O. A. Se sustituyó la superestructura de madera existente por Ho Ao, previa adecuación de los muros de piedra existentes en ambas cabeceras- Se utilizaron viga-losas prefabricadas.
Long. 6,00m Ancho=5m
Terminado en: octrubre 2015 31/08/2015 10/10/2015",MOPC,6 metros,Repatriación - M. J. Troche,"Lun, 31 Agosto 2015","Sáb, 10 Octubre 2015",2,100%,Fondo Local,Gs. 200.000.000
Viaducto Avda. Dr. Semidei,Paso a Desnivel,FINALIZADA,Asunción - Asunción,"Este viaducto, el vano central tiene 32 metros. El puente cuenta con 400 metros de extensión, dos carriles por sentido, bien señalizados, y con barandas de seguridad.
La inversión que demanda esta obra alcanza los G. 15.000 millones.
Las rampas del viaducto son de placas prefabricadas, que ahorro tiempo de las construcciones.",Consorcio Tecnoedil S.A. - Heisecke - Ocho A,400 metros,Asunción,,,30,100%,Fondo Local,
Túnel en la intersección de Avda. Dr. Semidei y Ruta Transchaco,Paso a Desnivel,FINALIZADA,Asunción - Asunción,"Llamado: Licitación Pública MOPC Nº 74/2012.
Localidad: Asunción.
Empresa contratista: Consorcio Tecnoedil S.A, Ocho A S.A
Monto de contrato inicial: G 27.697.535.158
Monto de contrato modificado: G 32.059.354.157 (IVA incluido)
Fondo de financiación: Fondo local
Plazo del contrato: 18 meses
Plazo del contrato modificado: 17 meses (según CM Nº02 aprobado en fecha 06 de diciembre de 2013 y nota DV Nº 796/13).
Fecha de inicio: 25 de octubre de 2012
Fecha de terminación modificada: 25 de febrero del 2014",Consorcio Tecnoedil S.A. - Ocho A S.A.,340 Mtrs.,Asunción - Mariano Roque Alonso - Limpio,"Jue, 25 Octubre 2012","Mar, 25 Febrero 2014",18,100%,Fondo Local,Gs. 32.059.354.157
"Construcción de paso a desnivel en la ciudad de Asunción, intersección Avda. Madame Lynch y Avda. Santa Teresa.",Paso a Desnivel,FINALIZADA,Asunción - Asunción,"Construcción de paso a desnivel en la ciudad de Asunción, intersección Avda. Madame Lynch y Avda. Santa Teresa.
Contratista: TR Construcciones S.A. (Ing. Teodoro Riveros Construcc.)Llamado MOPC: Nº 74/2012 Lic. Pública NacionalOrden de inicio: 19/11/2012Monto del contrato: G 26.326.687.861 (c/IVA)Monto modificado: G 31.584.189.217Plazo contractual: 540 días",TR Construcciones S.A.,400 Mtrs.,Asunción - Fernando de la Mora - San Lorenzo - Luque,"Lun, 19 Noviembre 2012","Mié, 14 Mayo 2014",18,100%,Fondo Local,Gs. 31.584.189.217
Pavimentación del tramo San Juan Nepomuceno - Empalme Ruta N°6,Pavimentación Asfáltica,EN CONSTRUCCIÓN,Caazapá - San Juan Nepomuceno,"El proyecto busca optimizar la red vial nacional mediante inversiones en rehabilitación y mantenimiento que otorguen adecuadas condiciones de transitabilidad de la carretera, que da acceso de manera directa a los distritos de San Juan Nepomuceno, Ava’i , Tava’i y San Rafael del Paraná. También a las localidades intermedias como Santo Domingo, San Carlos, Enramadita, Caazapami y Tembiaporenda. Y, de manera colateral a los distritos de Naranjal (Incluye Raúl Peña) y Tomás Romero Pereira.",Consorcio Tava'i,"84,66 kilometros",San Juan Nepomuceno - Ava’i - Tava’i - San Rafael del Paraná,"Lun, 17 Abril 2017",,30,0%,BID,Gs. 362.966.484.046
Reparación del Muro de Contención de la Ciudad de Pilar,Muro de Contención,FINALIZADA,Ñeembucú - Pilar,"CONTRATO S.G. MINISTRO N° 144/2016 de fecha 11/05/2016.
Obra de Reparación del Muro de Contención de la Ciudad de Pilar.",Caldetec Ingeniería S.A.,40.000 m3,Pilar,"Mié, 01 Junio 2016","Jue, 01 Septiembre 2016",3,100%,Bonos del Tesoro,Gs. 4.841.519.255
Estabilización de la defensa costera de la Ciudad de Albedi,Muro de Contención,FINALIZADA,Ñeembucú - Alberdi,"CONTRATO S.G. MINISTRO N°62/2016.
CONTRATACIÓN DE FIRMAS CONSTRUCTORAS PARA LAS ACCIONES INMEDIATAS PARA LA ESTABILIZACIÓN DE LA DEFENSA COSTERA DE LA CIUDAD DE ALBERDI. AD REFERÉNDUM AL PGN 2016.CONVENIO MODIFICATORIO Nº 1 (CONTRATO S.G. MINISTRO Nº 497/2016) al CONTRATO S.G. MINISTRO Nº 62/2016 de fecha 12 de diciembre de 2016. CONTRATACIÓN DE FIRMAS CONSTRUCTORAS PARA LAS ACCIONES INMEDIATAS PARA LA ESTABILIZACIÓN DE LA DEFENSA COSTERA DE LA CIUDAD DE ALBERDI. AD REFERÉNDUM AL PGN 2016.",Consorcio Tape Rory,,Alberdi,"Vie, 15 Abril 2016","Mar, 01 Noviembre 2016",7,100%,Bonos del Tesoro,Gs. 73.933.329.270
Trabajos de Restauración en el Panteón Nacional de los Héroes,Restauración,EN CONSTRUCCIÓN,Asunción - Asunción,"CONTRATO S.G. MINISTRO N°361/2014 de fecha 15/12/2014, Licitación Pública Nacional para los Trabajos de Restauración en el Panteón Nacional de los Héroes.- Contrato S.G. Ministro Nº 37/2016 de fecha 03/03/16, Trabajo de apuntalamiento y posterior Restauración de la Cúpula y Bovedas Principales del Panteón Nacional de los Héroes, con fondo local de Gs. 6.250.814.498 - Empresa: BARRAIL HNOS S.A. Avance: 96,50% - Convenio Modificatorio -ampliacion de plazo y monto 1.207.068.739 Gs. firmado",Barrail Hermanos S.A.,,Asunción,"Mié, 07 Enero 2015",,,96%,Fondo Local,Gs. 9.092.213.298
Revitalización y Puesta en Valor del Casco Histórico de San Juan Bautista Misiones - Segunda Etapa,Revitalización y Puesta en Valor,FINALIZADA,Misiones - San Juan Bautista,"CONTRATO S.G. MINISTRO N° 271/2014.
La Revitalización y Puesta en Valor del Casco Histórico de San Juan Bautista Misiones - Segunda Etapa",CORSAN CORVIAM CONSTRUCCION S.A.,,San Juan Bautista,"Mié, 13 Abril 2016","Lun, 10 Octubre 2016",7,100%,Fondo Local,Gs. 3.554.587.426
"Trabajos de Mantenimiento, Reparación y Construcciones Varias en la Parroquia Sagrado Corazón de Jesús","Mantenimiento, Reparación y Construcción",FINALIZADA,Paraguarí - Sapucai,"CONTRATO S.G. MINISTRO N°255/2014.
Trabajos de Mantenimiento Reparación y Construcciones Varias en la Parroquia Sagrado Corazón de Jesús de la Ciudad de Sapucai - Dpto de Paraguari.",Alberto Sosa Lezcano,,Sapucai,"Mar, 03 Febrero 2015","Vie, 03 Julio 2015",5,100%,Fondo Local,Gs. 818.319.312
Restauración de la Iglesia San Miguel Arcángel,Pavimentación Asfáltica,FINALIZADA,Misiones - San Miguel,"CONTRATO S.G. MINISTRO N° 256/2014
Restauración de la Iglesia San Miguel Arcángel- CONVENIO MODIFICARTORIO N°1: al CONTRATO S.G. MINISTRO N° 256/2014, Restauración de la Iglesia San Miguel Arcángel, fondo LOCAL Gs. 689.068.505, plazo 91 días, ejecutado 100%.",S&S CONTRUCCIONES S.A.,,San Miguel,"Vie, 02 Enero 2015","Mar, 01 Septiembre 2015",8,100%,Fondo Local,Gs. 3.741.194.000
Construcción de Ciclovía de la Ciudad de Sapucai,Construcción de Ciclovía,FINALIZADA,Paraguarí - Sapucai,"CONTRATO S.G. MINISTRO N° 148/2015.
Construcción de Ciclovía de la Ciudad de Sapucai -Departamento De Paraguarí",Ing. Alfredo Lezcano,,Sapucai,"Lun, 27 Julio 2015","Sáb, 23 Enero 2016",6,100%,Fondo Local,Gs. 2.235.500.000
Trabajos de Construcción de Cercado Perimetral y caseta de guardia en la cantera de Ypacaraí,"Mantenimiento, Reparación y Construcción",FINALIZADA,Central - Ypacaraí,"CONTRATO S.G. MINISTRO N°144/2015.
Trabajos de Construccion de Cercado Perimetral y caseta de guardia en la cantera de Ypacaraí",Virgen de las Mercedes Emprendimientos de Fausto Encina Cabral,,Ypacaraí,"Mié, 05 Agosto 2015","Lun, 01 Febrero 2016",6,100%,Fondo Local,Gs. 231.790.500
Construcción del Aeropuerto de la Ciudad de Fuerte Olimpo,"Mantenimiento, Reparación y Construcción",FINALIZADA,Alto Paraguay - Fuerte Olimpo,"CONTRATO S.G. MINISTRO N° 591/12.
Construcción del Aeropuerto de la Ciudad de Fuerte Olimpo - Ad Referéndum a la Aprobación del Plan Financiero -CONVENIO MODIFICATORIO N°1 (CONTRATO SG MINISTRO N° 253/15)CONVENIO MODIFICATORIO N° 2 ( CONTRATO S.G. MINISTRO N°280/2016) AL CONTRATO S.G. MINISTRO N° 591/2012. Construcción del Aeropuerto de la Ciudad de Fuerte Olimpo - Ad Referéndum a la Aprobación del Plan Financiero, con fondo local Gs. 4.065.324.249, finalizada al 100%",Consorcio ROTEC,800 metros de largo y 23 metros de ancho,Fuerte Olimpo,"Vie, 23 Octubre 2015",,18,100%,Fondo Local,Gs. 20.396.847.924
Construcción del Pórtico en el Parque Industrial Mariscal Francisco Solano López,"Mantenimiento, Reparación y Construcción",FINALIZADA,Central - Capiatá,"Contrato S.G. Ministro Nº 29/2016 de fecha 02/03/16.
Construcción del Pórtico en el Parque Industrial Mariscal Francisco Solano López.",COPESA S.A.,,Capiata,"Lun, 01 Agosto 2016",,8,100%,Fondo Local,Gs. 1.196.519.792
